treemap,scenario,etage_1,etage_2,etage_3,case,contribution,explication
Jeu vidéo,Particules fines,Jouer sur console,Connexion internet,Fin de vie,0.000000000009500,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Serveurs,Fabrication,0.000000000006360,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Serveurs,Transport,0.000000000000310,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Serveurs,Utilisation,0.000000000024000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Serveurs,Fin de vie,0.000000000000310,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Fabrication de ↴,L'Ordinateur portable,0.000000002280000,par étape de cycle de vie,L'utilisation des équipments nécessaires pour jouer à des jeux vidéo a plus d'impact sur les particules fines. Mais la fabrication reste un important facteur d'impact.
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Transport de ↴,L'Ordinateur portable,0.000000000117000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Utilisation de ↴,L'Ordinateur portable,0.000000000496000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Fin de vie de ↴,L'Ordinateur portable,0.000000000029200,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Connexion internet,Fabrication,0.000000000143000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Connexion internet,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Connexion internet,Utilisation,0.000000000798000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Connexion internet,Fin de vie,0.000000000009500,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Serveurs,Fabrication,0.000000000006360,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Serveurs,Transport,0.000000000000310,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Serveurs,Utilisation,0.000000000024000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur portable,Serveurs,Fin de vie,0.000000000000310,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Fabrication de ↴,L'ordinateur de bureau,0.000000003400000,par étape de cycle de vie,"Si tu veux plus d'informations sur les indicateurs tu peux cliquer sur le bouton ""i"" à droite d'""Indicateur""."
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Fabrication de ↴,L'écran,0.000000000484000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Transport de ↴,L'ordinateur de bureau,0.000000000185000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Transport de ↴,L'écran,0.000000000049600,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Utilisation de ↴,L'ordinateur de bureau,0.000000002470000,par étape de cycle de vie,
